,n_sim,n_p,n_p_f
1052,263,2,1
1053,263,3,1
1054,263,5,1
1055,263,6,1
1056,264,2,1
1057,264,3,2
1058,264,5,2
1059,264,6,1
1060,265,2,1
1061,265,3,1
1062,265,5,1
1063,265,6,1
1064,266,2,1
1065,266,3,1
1066,266,5,2
1067,266,6,2
1068,267,2,1
1069,267,3,2
1070,267,5,1
1071,267,6,1
1072,268,2,1
1073,268,3,2
1074,268,5,1
1075,268,6,2
1076,269,2,2
1077,269,3,1
1078,269,5,1
1079,269,6,2
1080,270,2,1
1081,270,3,1
1082,270,5,2
1083,270,6,1
1084,271,2,1
1085,271,3,2
1086,271,5,1
1087,271,6,1
1088,272,2,1
1089,272,3,1
1090,272,5,2
1091,272,6,2
1092,273,2,1
1093,273,3,1
1094,273,5,1
1095,273,6,1
1096,274,2,1
1097,274,3,2
1098,274,5,2
1099,274,6,1
1100,275,2,2
1101,275,3,1
1102,275,5,1
1103,275,6,1
1104,276,2,1
1105,276,3,2
1106,276,5,2
1107,276,6,1
1108,277,2,1
1109,277,3,1
1110,277,5,2
1111,277,6,1
1112,278,2,2
1113,278,3,2
1114,278,5,1
1115,278,6,1
1116,279,2,1
1117,279,3,2
1118,279,5,2
1119,279,6,1
1120,280,2,1
1121,280,3,2
1122,280,5,1
1123,280,6,1
1124,281,2,1
1125,281,3,1
1126,281,5,1
1127,281,6,2
1128,282,2,1
1129,282,3,2
1130,282,5,2
1131,282,6,1
1132,283,2,1
1133,283,3,1
1134,283,5,1
1135,283,6,1
1136,284,2,1
1137,284,3,2
1138,284,5,1
1139,284,6,2
1140,285,2,1
1141,285,3,1
1142,285,5,1
1143,285,6,1
1144,286,2,2
1145,286,3,1
1146,286,5,2
1147,286,6,1
1148,287,2,1
1149,287,3,1
1150,287,5,1
1151,287,6,2
1152,288,2,1
1153,288,3,1
1154,288,5,1
1155,288,6,2
1156,289,2,1
1157,289,3,1
1158,289,5,1
1159,289,6,2
1160,290,2,1
1161,290,3,1
1162,290,5,2
1163,290,6,1
1164,291,2,1
1165,291,3,1
1166,291,5,1
1167,291,6,2
1168,292,2,1
1169,292,3,2
1170,292,5,1
1171,292,6,2
1172,293,2,1
1173,293,3,2
1174,293,5,2
1175,293,6,2
1176,294,2,2
1177,294,3,2
1178,294,5,1
1179,294,6,2
1180,295,2,1
1181,295,3,2
1182,295,5,1
1183,295,6,2
1184,296,2,1
1185,296,3,1
1186,296,5,2
1187,296,6,1
1188,297,2,2
1189,297,3,2
1190,297,5,1
1191,297,6,1
1192,298,2,2
1193,298,3,1
1194,298,5,1
1195,298,6,1
1196,299,2,2
1197,299,3,1
1198,299,5,2
1199,299,6,2
1200,300,2,2
1201,300,3,2
1202,300,5,1
1203,300,6,1
1204,301,2,1
1205,301,3,1
1206,301,5,1
1207,301,6,1
1208,302,2,1
1209,302,3,1
1210,302,5,1
1211,302,6,1
1212,303,2,2
1213,303,3,2
1214,303,5,2
1215,303,6,2
1216,304,2,1
1217,304,3,1
1218,304,5,2
1219,304,6,1
1220,305,2,1
1221,305,3,2
1222,305,5,1
1223,305,6,1
1224,306,2,1
1225,306,3,2
1226,306,5,1
1227,306,6,1
1228,307,2,1
1229,307,3,2
1230,307,5,1
1231,307,6,2
1232,308,2,2
1233,308,3,1
1234,308,5,2
1235,308,6,1
1236,309,2,2
1237,309,3,2
1238,309,5,1
1239,309,6,1
1240,310,2,1
1241,310,3,2
1242,310,5,2
1243,310,6,1
1244,311,2,1
1245,311,3,1
1246,311,5,2
1247,311,6,1
1248,312,2,1
1249,312,3,1
1250,312,5,1
1251,312,6,2
1252,313,2,2
1253,313,3,1
1254,313,5,1
1255,313,6,2
1256,314,2,2
1257,314,3,2
1258,314,5,1
1259,314,6,2
1260,315,2,2
1261,315,3,1
1262,315,5,1
1263,315,6,2
1264,316,2,1
1265,316,3,2
1266,316,5,2
1267,316,6,2
1268,317,2,1
1269,317,3,2
1270,317,5,1
1271,317,6,1
1272,318,2,2
1273,318,3,1
1274,318,5,2
1275,318,6,1
1276,319,2,1
1277,319,3,2
1278,319,5,1
1279,319,6,1
1280,320,2,1
1281,320,3,2
1282,320,5,1
1283,320,6,1
1284,321,2,2
1285,321,3,2
1286,321,5,1
1287,321,6,1
1288,322,2,1
1289,322,3,1
1290,322,5,1
1291,322,6,2
1292,323,2,1
1293,323,3,1
1294,323,5,2
1295,323,6,2
1296,324,2,1
1297,324,3,1
1298,324,5,2
1299,324,6,1
1300,325,2,1
1301,325,3,1
1302,325,5,2
1303,325,6,1
1304,326,2,1
1305,326,3,1
1306,326,5,1
1307,326,6,2
1308,327,2,2
1309,327,3,1
1310,327,5,1
1311,327,6,1
1312,328,2,2
1313,328,3,1
1314,328,5,2
1315,328,6,1
1316,329,2,2
1317,329,3,2
1318,329,5,2
1319,329,6,2
1320,330,2,1
1321,330,3,2
1322,330,5,1
1323,330,6,2
1324,331,2,1
1325,331,3,1
1326,331,5,1
1327,331,6,1
1328,332,2,1
1329,332,3,1
1330,332,5,1
1331,332,6,1
1332,333,2,1
1333,333,3,1
1334,333,5,2
1335,333,6,1
1336,334,2,2
1337,334,3,1
1338,334,5,2
1339,334,6,1
1340,335,2,2
1341,335,3,1
1342,335,5,2
1343,335,6,1
1344,336,2,2
1345,336,3,1
1346,336,5,1
1347,336,6,1
1348,337,2,2
1349,337,3,2
1350,337,5,1
1351,337,6,1
1352,338,2,2
1353,338,3,2
1354,338,5,1
1355,338,6,2
1356,339,2,1
1357,339,3,1
1358,339,5,2
1359,339,6,1
1360,340,2,2
1361,340,3,2
1362,340,5,1
1363,340,6,2
1364,341,2,2
1365,341,3,1
1366,341,5,2
1367,341,6,2
1368,342,2,1
1369,342,3,1
1370,342,5,2
1371,342,6,1
1372,343,2,1
1373,343,3,2
1374,343,5,2
1375,343,6,1
1376,344,2,1
1377,344,3,1
1378,344,5,2
1379,344,6,2
1380,345,2,2
1381,345,3,1
1382,345,5,1
1383,345,6,1
1384,346,2,1
1385,346,3,1
1386,346,5,1
1387,346,6,1
1388,347,2,2
1389,347,3,1
1390,347,5,1
1391,347,6,1
1392,348,2,1
1393,348,3,2
1394,348,5,1
1395,348,6,1
1396,349,2,1
1397,349,3,1
1398,349,5,1
1399,349,6,2
1400,350,2,1
1401,350,3,1
1402,350,5,2
1403,350,6,1
1404,351,2,1
1405,351,3,1
1406,351,5,1
1407,351,6,2
1408,352,2,2
1409,352,3,1
1410,352,5,2
1411,352,6,1
1412,353,2,1
1413,353,3,1
1414,353,5,1
1415,353,6,1
1416,354,2,2
1417,354,3,2
1418,354,5,1
1419,354,6,1
1420,355,2,2
1421,355,3,1
1422,355,5,1
1423,355,6,1
1424,356,2,1
1425,356,3,2
1426,356,5,1
1427,356,6,1
1428,357,2,1
1429,357,3,1
1430,357,5,1
1431,357,6,1
1432,358,2,2
1433,358,3,1
1434,358,5,1
1435,358,6,2
1436,359,2,1
1437,359,3,2
1438,359,5,1
1439,359,6,1
1440,360,2,1
1441,360,3,1
1442,360,5,1
1443,360,6,1
1444,361,2,2
1445,361,3,1
1446,361,5,1
1447,361,6,1
1448,362,2,1
1449,362,3,2
1450,362,5,1
1451,362,6,2
1452,363,2,1
1453,363,3,1
1454,363,5,2
1455,363,6,2
1456,364,2,1
1457,364,3,2
1458,364,5,2
1459,364,6,1
1460,365,2,2
1461,365,3,2
1462,365,5,1
1463,365,6,1
1464,366,2,1
1465,366,3,1
1466,366,5,2
1467,366,6,2
1468,367,2,1
1469,367,3,1
1470,367,5,1
1471,367,6,1
1472,368,2,2
1473,368,3,1
1474,368,5,1
1475,368,6,2
1476,369,2,1
1477,369,3,1
1478,369,5,1
1479,369,6,1
1480,370,2,1
1481,370,3,1
1482,370,5,1
1483,370,6,1
1484,371,2,1
1485,371,3,1
1486,371,5,2
1487,371,6,1
1488,372,2,2
1489,372,3,1
1490,372,5,1
1491,372,6,2
1492,373,2,1
1493,373,3,2
1494,373,5,2
1495,373,6,1
1496,374,2,1
1497,374,3,2
1498,374,5,1
1499,374,6,2
1500,375,2,2
1501,375,3,2
1502,375,5,1
1503,375,6,1
1504,376,2,1
1505,376,3,1
1506,376,5,2
1507,376,6,1
1508,377,2,1
1509,377,3,2
1510,377,5,1
1511,377,6,1
1512,378,2,1
1513,378,3,1
1514,378,5,1
1515,378,6,2
1516,379,2,1
1517,379,3,2
1518,379,5,2
1519,379,6,1
1520,380,2,2
1521,380,3,2
1522,380,5,1
1523,380,6,1
1524,381,2,1
1525,381,3,1
1526,381,5,1
1527,381,6,2
1528,382,2,1
1529,382,3,1
1530,382,5,2
1531,382,6,1
1532,383,2,2
1533,383,3,2
1534,383,5,2
1535,383,6,1
1536,384,2,2
1537,384,3,2
1538,384,5,1
1539,384,6,1
1540,385,2,2
1541,385,3,2
1542,385,5,2
1543,385,6,2
1544,386,2,1
1545,386,3,2
1546,386,5,2
1547,386,6,2
1548,387,2,1
1549,387,3,1
1550,387,5,2
1551,387,6,1
1552,388,2,2
1553,388,3,1
1554,388,5,1
1555,388,6,1
1556,389,2,1
1557,389,3,2
1558,389,5,2
1559,389,6,1
1560,390,2,2
1561,390,3,1
1562,390,5,2
1563,390,6,1
1564,391,2,1
1565,391,3,2
